DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,AGE,STU,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-19,STU_EDU_NO,2020,21.53,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y20-24,STU_EDU_TOTAL,2020,20.706,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y20-24,STU_EDU_NO,2020,20.706,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y25-29,STU_EDU_TOTAL,2020,15.527,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y25-29,STU_EDU_NO,2020,15.527,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2021,7.903,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_YES,2021,5.895,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2021,13.01,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_X,2021,6.296,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_TOTAL,2021,8.754,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_YES,2021,6.046,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_NO,2021,16.617,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_X,2021,6.088,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_TOTAL,2021,8.812,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_YES,2021,5.391,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_NO,2021,11.381,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_X,2021,6.233,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_TOTAL,2021,6.399,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_NO,2021,,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_X,2021,6.388,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2021,7.958,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_YES,2021,4.78,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2021,11.261,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_X,2021,7.256,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-19,STU_EDU_TOTAL,2021,8.819,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-19,STU_EDU_YES,2021,4.554,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-19,STU_EDU_NO,2021,15.851,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-19,STU_EDU_X,2021,8.125,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y20-24,STU_EDU_TOTAL,2021,8.316,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y20-24,STU_EDU_YES,2021,,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y20-24,STU_EDU_NO,2021,9.246,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y20-24,STU_EDU_X,2021,7.48,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y25-29,STU_EDU_TOTAL,2021,6.996,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y25-29,STU_EDU_NO,2021,,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y25-29,STU_EDU_X,2021,6.972,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2021,7.742,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-29,STU_EDU_YES,2021,12.28,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2021,19.807,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-29,STU_EDU_X,2021,4.038,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-19,STU_EDU_TOTAL,2021,8.593,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-19,STU_EDU_YES,2021,13.774,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-19,STU_EDU_NO,2021,19.144,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y15-19,STU_EDU_X,2021,3.433,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y20-24,STU_EDU_TOTAL,2021,10.314,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y20-24,STU_EDU_YES,2021,,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y20-24,STU_EDU_NO,2021,20.474,,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y20-24,STU_EDU_X,2021,,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y25-29,STU_EDU_TOTAL,2021,4.467,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_F,AGE_YTHBANDS_Y25-29,STU_EDU_X,2021,4.493,U,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2014,9.454,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_YES,2014,10.016,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2014,13.058,,RT,PT,0,HIES - Households Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
